,Image Time Start,Image Time End,MAC,Image,Status
0,2018-08-01 17:14:15,2018-08-01 17:24:00,00:0c:29:9d:9e:9e,1,0
1,2018-08-01 17:24:15,2018-08-01 17:34:00,00:0c:29:9d:9e:9e,2,1
2,2018-08-01 17:34:15,2018-08-01 17:44:00,00:0c:29:9d:9e:9e,3,0
3,2018-08-01 17:14:15,2018-08-01 17:24:00,00:80:f4:09:51:3b,1,0
4,2018-08-01 17:24:15,2018-08-01 17:34:00,00:80:f4:09:51:3b,2,1
5,2018-08-01 17:34:15,2018-08-01 17:44:00,00:80:f4:09:51:3b,3,0
6,2018-08-01 17:14:15,2018-08-01 17:24:00,48:5b:39:64:40:79,1,0
7,2018-08-01 17:24:15,2018-08-01 17:34:00,48:5b:39:64:40:79,2,1
8,2018-08-01 17:34:15,2018-08-01 17:44:00,48:5b:39:64:40:79,3,0
9,2018-08-01 17:19:15,2018-08-01 17:29:00,00:0c:29:e6:14:0d,1,1
10,2018-08-01 17:29:15,2018-08-01 17:34:00,00:0c:29:e6:14:0d,2,1
