,Image Time Start,Image Time End,MAC,Image,Status
0,2018-08-06 05:44:00,2018-08-06 05:53:45,00:0c:29:9d:9e:9e,1,0
1,2018-08-06 05:54:00,2018-08-06 06:03:45,00:0c:29:9d:9e:9e,2,1
2,2018-08-06 06:04:00,2018-08-06 06:13:45,00:0c:29:9d:9e:9e,3,0
3,2018-08-06 06:14:00,2018-08-06 06:23:45,00:0c:29:9d:9e:9e,4,0
4,2018-08-06 06:24:00,2018-08-06 06:33:45,00:0c:29:9d:9e:9e,5,0
5,2018-08-06 06:34:00,2018-08-06 06:43:45,00:0c:29:9d:9e:9e,6,0
6,2018-08-06 06:44:00,2018-08-06 06:53:45,00:0c:29:9d:9e:9e,7,0
7,2018-08-06 06:54:00,2018-08-06 07:03:45,00:0c:29:9d:9e:9e,8,0
8,2018-08-06 07:04:00,2018-08-06 07:13:45,00:0c:29:9d:9e:9e,9,0
9,2018-08-06 07:14:00,2018-08-06 07:23:45,00:0c:29:9d:9e:9e,10,0
10,2018-08-06 07:24:00,2018-08-06 07:33:45,00:0c:29:9d:9e:9e,11,0
11,2018-08-06 07:34:00,2018-08-06 07:43:45,00:0c:29:9d:9e:9e,12,0
12,2018-08-06 07:44:00,2018-08-06 07:53:45,00:0c:29:9d:9e:9e,13,0
13,2018-08-06 07:54:00,2018-08-06 08:03:45,00:0c:29:9d:9e:9e,14,0
14,2018-08-06 08:04:00,2018-08-06 08:13:45,00:0c:29:9d:9e:9e,15,0
15,2018-08-06 08:14:00,2018-08-06 08:23:45,00:0c:29:9d:9e:9e,16,0
16,2018-08-06 08:24:00,2018-08-06 08:33:45,00:0c:29:9d:9e:9e,17,0
17,2018-08-06 08:34:00,2018-08-06 08:43:45,00:0c:29:9d:9e:9e,18,0
18,2018-08-06 08:44:00,2018-08-06 08:53:45,00:0c:29:9d:9e:9e,19,0
19,2018-08-06 08:54:00,2018-08-06 09:03:45,00:0c:29:9d:9e:9e,20,0
20,2018-08-06 09:04:00,2018-08-06 09:13:45,00:0c:29:9d:9e:9e,21,0
21,2018-08-06 09:14:00,2018-08-06 09:23:45,00:0c:29:9d:9e:9e,22,0
22,2018-08-06 09:24:00,2018-08-06 09:33:45,00:0c:29:9d:9e:9e,23,0
23,2018-08-06 09:34:00,2018-08-06 09:43:45,00:0c:29:9d:9e:9e,24,0
24,2018-08-06 09:44:00,2018-08-06 09:53:45,00:0c:29:9d:9e:9e,25,0
25,2018-08-06 09:54:00,2018-08-06 10:03:45,00:0c:29:9d:9e:9e,26,0
26,2018-08-06 10:04:00,2018-08-06 10:13:45,00:0c:29:9d:9e:9e,27,0
27,2018-08-06 10:14:00,2018-08-06 10:23:45,00:0c:29:9d:9e:9e,28,0
28,2018-08-06 10:24:00,2018-08-06 10:33:45,00:0c:29:9d:9e:9e,29,0
29,2018-08-06 10:34:00,2018-08-06 10:43:45,00:0c:29:9d:9e:9e,30,0
30,2018-08-06 10:44:00,2018-08-06 10:53:45,00:0c:29:9d:9e:9e,31,0
31,2018-08-06 10:54:00,2018-08-06 11:03:45,00:0c:29:9d:9e:9e,32,0
32,2018-08-06 11:04:00,2018-08-06 11:13:45,00:0c:29:9d:9e:9e,33,0
33,2018-08-06 11:14:00,2018-08-06 11:23:45,00:0c:29:9d:9e:9e,34,0
34,2018-08-06 11:24:00,2018-08-06 11:33:45,00:0c:29:9d:9e:9e,35,0
35,2018-08-06 11:34:00,2018-08-06 11:43:45,00:0c:29:9d:9e:9e,36,0
36,2018-08-06 05:44:00,2018-08-06 05:53:45,00:80:f4:09:51:3b,1,0
37,2018-08-06 05:54:00,2018-08-06 06:03:45,00:80:f4:09:51:3b,2,1
38,2018-08-06 06:04:00,2018-08-06 06:13:45,00:80:f4:09:51:3b,3,0
39,2018-08-06 06:14:00,2018-08-06 06:23:45,00:80:f4:09:51:3b,4,0
40,2018-08-06 06:24:00,2018-08-06 06:33:45,00:80:f4:09:51:3b,5,0
41,2018-08-06 06:34:00,2018-08-06 06:43:45,00:80:f4:09:51:3b,6,0
42,2018-08-06 06:44:00,2018-08-06 06:53:45,00:80:f4:09:51:3b,7,0
43,2018-08-06 06:54:00,2018-08-06 07:03:45,00:80:f4:09:51:3b,8,0
44,2018-08-06 07:04:00,2018-08-06 07:13:45,00:80:f4:09:51:3b,9,0
45,2018-08-06 07:14:00,2018-08-06 07:23:45,00:80:f4:09:51:3b,10,0
46,2018-08-06 07:24:00,2018-08-06 07:33:45,00:80:f4:09:51:3b,11,0
47,2018-08-06 07:34:00,2018-08-06 07:43:45,00:80:f4:09:51:3b,12,0
48,2018-08-06 07:44:00,2018-08-06 07:53:45,00:80:f4:09:51:3b,13,0
49,2018-08-06 07:54:00,2018-08-06 08:03:45,00:80:f4:09:51:3b,14,0
50,2018-08-06 08:04:00,2018-08-06 08:13:45,00:80:f4:09:51:3b,15,0
51,2018-08-06 08:14:00,2018-08-06 08:23:45,00:80:f4:09:51:3b,16,0
52,2018-08-06 08:24:00,2018-08-06 08:33:45,00:80:f4:09:51:3b,17,0
53,2018-08-06 08:34:00,2018-08-06 08:43:45,00:80:f4:09:51:3b,18,0
54,2018-08-06 08:44:00,2018-08-06 08:53:45,00:80:f4:09:51:3b,19,0
55,2018-08-06 08:54:00,2018-08-06 09:03:45,00:80:f4:09:51:3b,20,0
56,2018-08-06 09:04:00,2018-08-06 09:13:45,00:80:f4:09:51:3b,21,0
57,2018-08-06 09:14:00,2018-08-06 09:23:45,00:80:f4:09:51:3b,22,0
58,2018-08-06 09:24:00,2018-08-06 09:33:45,00:80:f4:09:51:3b,23,0
59,2018-08-06 09:34:00,2018-08-06 09:43:45,00:80:f4:09:51:3b,24,0
60,2018-08-06 09:44:00,2018-08-06 09:53:45,00:80:f4:09:51:3b,25,0
61,2018-08-06 09:54:00,2018-08-06 10:03:45,00:80:f4:09:51:3b,26,0
62,2018-08-06 10:04:00,2018-08-06 10:13:45,00:80:f4:09:51:3b,27,0
63,2018-08-06 10:14:00,2018-08-06 10:23:45,00:80:f4:09:51:3b,28,0
64,2018-08-06 10:24:00,2018-08-06 10:33:45,00:80:f4:09:51:3b,29,0
65,2018-08-06 10:34:00,2018-08-06 10:43:45,00:80:f4:09:51:3b,30,0
66,2018-08-06 10:44:00,2018-08-06 10:53:45,00:80:f4:09:51:3b,31,0
67,2018-08-06 10:54:00,2018-08-06 11:03:45,00:80:f4:09:51:3b,32,0
68,2018-08-06 11:04:00,2018-08-06 11:13:45,00:80:f4:09:51:3b,33,0
69,2018-08-06 11:14:00,2018-08-06 11:23:45,00:80:f4:09:51:3b,34,0
70,2018-08-06 11:24:00,2018-08-06 11:33:45,00:80:f4:09:51:3b,35,0
71,2018-08-06 11:34:00,2018-08-06 11:43:45,00:80:f4:09:51:3b,36,0
72,2018-08-06 05:44:00,2018-08-06 05:53:45,48:5b:39:64:40:79,1,0
73,2018-08-06 05:54:00,2018-08-06 06:03:45,48:5b:39:64:40:79,2,1
74,2018-08-06 06:04:00,2018-08-06 06:13:45,48:5b:39:64:40:79,3,0
75,2018-08-06 06:14:00,2018-08-06 06:23:45,48:5b:39:64:40:79,4,0
76,2018-08-06 06:24:00,2018-08-06 06:33:45,48:5b:39:64:40:79,5,0
77,2018-08-06 06:34:00,2018-08-06 06:43:45,48:5b:39:64:40:79,6,0
78,2018-08-06 06:44:00,2018-08-06 06:53:45,48:5b:39:64:40:79,7,0
79,2018-08-06 06:54:00,2018-08-06 07:03:45,48:5b:39:64:40:79,8,0
80,2018-08-06 07:04:00,2018-08-06 07:13:45,48:5b:39:64:40:79,9,0
81,2018-08-06 07:14:00,2018-08-06 07:23:45,48:5b:39:64:40:79,10,0
82,2018-08-06 07:24:00,2018-08-06 07:33:45,48:5b:39:64:40:79,11,0
83,2018-08-06 07:34:00,2018-08-06 07:43:45,48:5b:39:64:40:79,12,0
84,2018-08-06 07:44:00,2018-08-06 07:53:45,48:5b:39:64:40:79,13,0
85,2018-08-06 07:54:00,2018-08-06 08:03:45,48:5b:39:64:40:79,14,0
86,2018-08-06 08:04:00,2018-08-06 08:13:45,48:5b:39:64:40:79,15,0
87,2018-08-06 08:14:00,2018-08-06 08:23:45,48:5b:39:64:40:79,16,0
88,2018-08-06 08:24:00,2018-08-06 08:33:45,48:5b:39:64:40:79,17,0
89,2018-08-06 08:34:00,2018-08-06 08:43:45,48:5b:39:64:40:79,18,0
90,2018-08-06 08:44:00,2018-08-06 08:53:45,48:5b:39:64:40:79,19,0
91,2018-08-06 08:54:00,2018-08-06 09:03:45,48:5b:39:64:40:79,20,0
92,2018-08-06 09:04:00,2018-08-06 09:13:45,48:5b:39:64:40:79,21,0
93,2018-08-06 09:14:00,2018-08-06 09:23:45,48:5b:39:64:40:79,22,0
94,2018-08-06 09:24:00,2018-08-06 09:33:45,48:5b:39:64:40:79,23,0
95,2018-08-06 09:34:00,2018-08-06 09:43:45,48:5b:39:64:40:79,24,0
