,Image Time Start,Image Time End,MAC,Image,Status
0,2018-09-08 20:54:30,2018-09-08 21:04:15,00:0c:29:9d:9e:9e,1,0
1,2018-09-08 21:04:30,2018-09-08 21:14:15,00:0c:29:9d:9e:9e,2,0
2,2018-09-08 21:14:30,2018-09-08 21:24:15,00:0c:29:9d:9e:9e,3,0
3,2018-09-08 21:24:30,2018-09-08 21:34:15,00:0c:29:9d:9e:9e,4,0
4,2018-09-08 21:34:30,2018-09-08 21:44:15,00:0c:29:9d:9e:9e,5,0
5,2018-09-08 21:44:30,2018-09-08 21:54:00,00:0c:29:9d:9e:9e,6,0
6,2018-09-08 20:54:30,2018-09-08 21:04:15,00:80:f4:09:51:3b,1,0
7,2018-09-08 21:04:30,2018-09-08 21:14:15,00:80:f4:09:51:3b,2,0
8,2018-09-08 21:14:30,2018-09-08 21:24:15,00:80:f4:09:51:3b,3,0
9,2018-09-08 21:24:30,2018-09-08 21:34:15,00:80:f4:09:51:3b,4,0
10,2018-09-08 21:34:30,2018-09-08 21:44:15,00:80:f4:09:51:3b,5,0
11,2018-09-08 21:44:30,2018-09-08 21:54:00,00:80:f4:09:51:3b,6,0
12,2018-09-08 20:54:30,2018-09-08 21:04:15,48:5b:39:64:40:79,1,0
13,2018-09-08 21:04:30,2018-09-08 21:14:15,48:5b:39:64:40:79,2,0
14,2018-09-08 21:14:30,2018-09-08 21:24:15,48:5b:39:64:40:79,3,0
15,2018-09-08 21:24:30,2018-09-08 21:34:15,48:5b:39:64:40:79,4,0
16,2018-09-08 21:34:30,2018-09-08 21:44:15,48:5b:39:64:40:79,5,0
17,2018-09-08 21:44:30,2018-09-08 21:54:00,48:5b:39:64:40:79,6,0
